id,first_name,last_name,gender,team,position
1,Jaymie,Burlingham,Male,China,Forward
2,Thurston,Tugman,Male,Brazil,Center Forward
3,Sasha,Suett,Non-binary,Brazil,Midfielders
4,Cal,Sparhawk,Male,China,Midfielders
5,Joaquin,Ahlf,Male,Argentina,Defenders
6,Glynis,Caw,Female,France,Center Forward
7,Isabel,Clemmen,Female,Canada,Defenders
8,Arabelle,Tantum,Female,Brazil,Goalkeeper
9,Douglass,Kimblin,Male,Indonesia,Center Forward
10,Emylee,Tramel,Female,Indonesia,Center Forward
11,Lewes,Weighell,Male,China,Forward
12,Sammy,Galbraeth,Male,China,Center Forward
13,Quinton,Vicioso,Male,China,Center Forward
14,Zoe,Heap,Genderqueer,China,Center Forward
15,Logan,Morshead,Male,France,Center Forward
16,Viv,Sercombe,Female,Brazil,Goalkeeper
17,Romy,Inglese,Female,China,Defenders
18,Theresita,Simonazzi,Female,China,Goalkeeper
19,Sheree,Kings,Female,France,Midfielders
20,Farlay,Ackrill,Male,China,Midfielders
21,Alfreda,Edson,Female,China,Midfielders
22,Garvin,Zamorrano,Male,Indonesia,Midfielders
23,Alain,Cattermull,Genderqueer,France,Center Forward
24,Horace,Edgcombe,Male,France,Midfielders
25,Vail,Romaine,Male,China,Center Forward
26,Mauricio,Sarl,Male,South Africa,Goalkeeper
27,Justinn,Fortnum,Agender,China,Goalkeeper
28,Stanislaus,Purver,Male,France,Midfielders
29,Joella,Menham,Agender,China,Midfielders
30,Lotta,Durning,Female,Spain,Goalkeeper
31,Eldredge,Giraudou,Male,Canada,Forward
32,Ede,Reeman,Female,France,Midfielders
33,Hestia,Matthiesen,Female,China,Center Forward
34,Yancey,Welds,Male,China,Goalkeeper
35,Neddy,O'Kane,Male,Indonesia,Center Forward
36,Correna,Feetham,Female,China,Midfielders
37,Orel,Althrope,Female,Argentina,Center Forward
38,Torrance,Hodge,Male,Indonesia,Goalkeeper
39,Decca,Victor,Male,Indonesia,Center Forward
40,Bradney,Briant,Male,Spain,Defenders
41,Jeanelle,Camber,Female,China,Defenders
42,Camella,Spours,Female,China,Goalkeeper
43,Faustine,Peniman,Female,China,Goalkeeper
44,Christian,Bleasdille,Female,China,Goalkeeper
45,Ado,Gilman,Male,Indonesia,Goalkeeper
46,Cecelia,Pratchett,Female,China,Forward
47,Merle,Uzelli,Male,Brazil,Forward
48,Noah,Mushett,Male,China,Forward
49,Isobel,Snibson,Female,Canada,Center Forward
50,Luce,Crufts,Female,China,Goalkeeper
51,Ewen,Lewendon,Male,Indonesia,Goalkeeper
52,Tirrell,Tissell,Male,Indonesia,Midfielders
53,Adelaide,Kingscott,Female,Germany,Center Forward
54,Nerti,Glennard,Female,South Africa,Center Forward
55,Kaja,Hoppner,Female,Germany,Midfielders
56,Matthias,Shermore,Male,China,Center Forward
57,Angelo,Leopold,Male,China,Defenders
58,Shurlock,Pheasant,Male,Canada,Midfielders
59,Andrus,Kibblewhite,Male,China,Center Forward
60,Ernie,Ghilks,Male,Indonesia,Goalkeeper
61,Elly,Baudin,Female,China,Goalkeeper
62,Minni,Winpenny,Female,Indonesia,Midfielders
63,Joseito,Drummer,Male,China,Defenders
64,Hilliard,Geram,Male,Brazil,Forward
65,Rip,Krystek,Male,Indonesia,Defenders
66,Desiri,Ubsdall,Female,China,Defenders
67,Bev,Domanski,Female,South Africa,Center Forward
68,Wendall,Pagram,Male,China,Goalkeeper
69,Loren,Marie,Female,France,Goalkeeper
70,Gaylord,Reihm,Male,Indonesia,Center Forward
71,Nada,Pretious,Female,China,Forward
72,Ange,Utley,Female,China,Forward
73,Hugh,Karlolak,Male,Brazil,Defenders
74,Nickie,Jenton,Female,Indonesia,Goalkeeper
75,Vinnie,Hazzard,Female,China,Goalkeeper
76,Eugine,Lambourn,Agender,China,Defenders
77,Tamar,Trevaskis,Female,Canada,Forward
78,Lindsay,Laise,Female,China,Midfielders
79,Hamlin,Clabburn,Male,France,Defenders
80,Kittie,Parr,Female,France,Center Forward
81,Misti,Mattevi,Genderqueer,China,Center Forward
82,Corrie,Sumpter,Female,Brazil,Forward
83,Kennan,Caddan,Male,China,Forward
84,Catina,Derrick,Bigender,China,Midfielders
85,Lincoln,Gherardesci,Male,China,Goalkeeper
86,Elfreda,Farncombe,Female,France,Forward
87,Daryn,Guard,Female,Indonesia,Midfielders
88,Fanni,Quan,Female,Indonesia,Center Forward
89,Nadine,Malden,Female,Indonesia,Goalkeeper
90,Kristine,Von Salzberg,Female,China,Goalkeeper
91,Lurleen,Mawhinney,Female,Indonesia,Defenders
92,Eldredge,Vagg,Male,China,Defenders
93,Cynde,Branney,Female,China,Forward
94,Robbin,Webbe,Female,China,Forward
95,Norene,Skegg,Female,France,Center Forward
96,Xerxes,Pearcehouse,Genderfluid,Brazil,Defenders
97,Jo,Diboll,Female,South Africa,Center Forward
98,Cam,Creese,Female,China,Defenders
99,Catina,Keerl,Female,Argentina,Center Forward
100,Kyle,Puzey,Male,Brazil,Goalkeeper
101,Adiana,Hallam,Female,China,Forward
102,Osmund,Screas,Male,China,Center Forward
103,Loella,Larn,Female,Argentina,Midfielders
104,Dalt,Feaveryear,Male,France,Midfielders
105,Britte,Undrill,Genderqueer,Indonesia,Midfielders
106,Amaleta,Jone,Bigender,China,Forward
107,Chiarra,Wadhams,Female,China,Forward
108,Lindsey,Whyffen,Female,Indonesia,Forward
109,Geneva,Defau,Female,Indonesia,Goalkeeper
110,Genni,Liffe,Female,China,Defenders
111,Kayne,Peachman,Male,Canada,Midfielders
112,Egor,Layson,Male,France,Goalkeeper
113,Billi,Gilbart,Female,France,Goalkeeper
114,Ketty,Tutchell,Female,France,Center Forward
115,Loutitia,Richards,Female,Indonesia,Midfielders
116,Zedekiah,Anderl,Male,Indonesia,Goalkeeper
117,Fidelity,Sleney,Female,Indonesia,Midfielders
118,Judon,Rhucroft,Male,Argentina,Midfielders
119,Milli,Biggadike,Female,France,Forward
120,Daniel,Lecordier,Male,China,Center Forward
121,Zarah,Wadhams,Female,China,Goalkeeper
122,Jimmie,Hayball,Genderfluid,China,Center Forward
123,Alikee,Royston,Female,China,Center Forward
124,Clea,Oehm,Female,France,Forward
125,Justino,Wholesworth,Male,China,Center Forward
126,Dottie,Markushkin,Female,China,Goalkeeper
127,Paige,Kayzer,Male,Indonesia,Goalkeeper
128,Tiffi,Gifkins,Female,France,Midfielders
129,Waly,Fromont,Female,Indonesia,Goalkeeper
130,Nikki,Mechic,Female,China,Center Forward
131,Antonina,Lomaz,Female,Indonesia,Center Forward
132,Nikolas,Langmaid,Male,China,Goalkeeper
133,Glori,Omand,Female,China,Forward
134,Lincoln,Birtle,Male,Brazil,Goalkeeper
135,Joan,Hulland,Genderqueer,Indonesia,Midfielders
136,D'arcy,O'Gready,Male,Germany,Forward
137,Terra,Stanistrete,Female,China,Goalkeeper
138,Ronny,Falconer,Agender,South Africa,Forward
139,Kendre,Philipart,Female,Indonesia,Defenders
140,Ford,Asplen,Male,China,Center Forward
141,Roddie,Boteman,Polygender,Germany,Goalkeeper
142,Roderigo,Varian,Male,France,Center Forward
143,Brittani,Fairs,Female,China,Goalkeeper
144,Fowler,Novotne,Genderfluid,China,Midfielders
145,Alyss,Fearnsides,Female,Brazil,Goalkeeper
146,Rena,Bunyard,Female,China,Midfielders
147,Willie,Jouannisson,Female,China,Midfielders
148,Krystalle,Reasce,Female,Indonesia,Defenders
149,Calla,Clementson,Female,China,Midfielders
150,Wilie,Redbourn,Female,Brazil,Goalkeeper
151,Elyn,Shires,Female,China,Goalkeeper
152,Bale,Avrahm,Male,France,Center Forward
153,Yance,Margery,Male,France,Center Forward
154,Loydie,Janaway,Male,China,Forward
155,Manfred,Risbridge,Male,China,Center Forward
156,Evangelina,Stannas,Female,Indonesia,Forward
157,Kennith,Lagne,Male,France,Forward
